outcome,month,mmwr_week,age_group,vaccination_status,vaccinated_with_outcome,vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_vax_ir,crude_unvax_ir,crude_irr,age_adj_vax_ir,age_adj_unvax_ir,age_adj_irr,monthly_age_adj_vax_ir,monthly_age_adj_unvax_ir,monthly_age_adj_irr,monthly_age_adj_mb_irr,continuity_correction
case,OCT 2021,202140,12-17,vaccinated,2595,5502253,25319,6084067,47.16249871,416.1525506,8.823802004,,,,,,,,0
case,OCT 2021,202140,12-17,vax with updated booster,,,25319,6084067,,416.1525506,,,,,,,,,0
case,OCT 2021,202140,18-29,vaccinated,10418,13690510,41046,11487039,76.09650773,357.3244593,4.695674874,,,,,,,,0
case,OCT 2021,202140,18-29,vax with updated booster,,,41046,11487039,,357.3244593,,,,,,,,,0
case,OCT 2021,202140,30-49,vaccinated,27314,26197185,62379,13548817,104.2631107,460.4018196,4.415769072,,,,,,,,0
case,OCT 2021,202140,30-49,vax with updated booster,,,62379,13548817,,460.4018196,,,,,,,,,0
case,OCT 2021,202140,50-64,vaccinated,20410,22536239,29761,6903760,90.56524472,431.0839311,4.759926751,,,,,,,,0
case,OCT 2021,202140,50-64,vax with updated booster,,,29761,6903760,,431.0839311,,,,,,,,,0
case,OCT 2021,202140,65-79,vaccinated,15024,16871429.1,12992,2008825.3,89.04995487,646.7461357,7.262734008,,,,,,,,1
case,OCT 2021,202140,65-79,vax with updated booster,,,12992,2008825.3,,646.7461357,,,,,,,,,1
case,OCT 2021,202140,80+,vaccinated,4872,4876699,3340,935930.85,99.90364384,356.8639713,3.572081634,,,,,,,,1
case,OCT 2021,202140,80+,vax with updated booster,,,3340,935930.85,,356.8639713,,,,,,,,,1
case,OCT 2021,202140,all_ages,vaccinated,78038,84172062.1,149518,34884372.15,,,,93.31612507,450.9434451,4.832427887,83.8169426,393.5020604,4.694779458,,1
case,OCT 2021,202140,all_ages,vax with updated booster,,,149518,34884372.15,,,,,450.9434451,,,393.5020604,,,1
case,OCT 2021,202141,12-17,vaccinated,2229,5648249,20622,6012768,39.46355764,342.9701595,8.690806911,,,,,,,,0
case,OCT 2021,202141,12-17,vax with updated booster,,,20622,6012768,,342.9701595,,,,,,,,,0
case,OCT 2021,202141,18-29,vaccinated,9657,13931780,34573,11335391,69.31634005,305.0005068,4.400124222,,,,,,,,0
case,OCT 2021,202141,18-29,vax with updated booster,,,34573,11335391,,305.0005068,,,,,,,,,0
case,OCT 2021,202141,30-49,vaccinated,24909,26553223,52929,13327388,93.80782137,397.1445868,4.233597806,,,,,,,,0
case,OCT 2021,202141,30-49,vax with updated booster,,,52929,13327388,,397.1445868,,,,,,,,,0
case,OCT 2021,202141,50-64,vaccinated,18936,22713229,26045,6790490,83.36991627,383.5511134,4.600593722,,,,,,,,0
case,OCT 2021,202141,50-64,vax with updated booster,,,26045,6790490,,383.5511134,,,,,,,,,0
case,OCT 2021,202141,65-79,vaccinated,13305,16943239.1,11793,1944307,78.52689749,606.5400166,7.723977846,,,,,,,,1
case,OCT 2021,202141,65-79,vax with updated booster,,,11793,1944307,,606.5400166,,,,,,,,,1
case,OCT 2021,202141,80+,vaccinated,4471,4893626,3104,911969.85,91.36374541,340.3621293,3.725352193,,,,,,,,1
case,OCT 2021,202141,80+,vax with updated booster,,,3104,911969.85,,340.3621293,,,,,,,,,1
case,OCT 2021,202141,all_ages,vaccinated,71278,85035097.1,128444,34309545.85,,,,84.38993556,398.2118977,4.718713139,83.8169426,393.5020604,4.694779458,,1
case,OCT 2021,202141,all_ages,vax with updated booster,,,128444,34309545.85,,,,,398.2118977,,,393.5020604,,,1
case,OCT 2021,202142,12-17,vaccinated,2236,5771628,17420,5952701,38.74123558,292.6402653,7.553715336,,,,,,,,0
case,OCT 2021,202142,12-17,vax with updated booster,,,17420,5952701,,292.6402653,,,,,,,,,0
