"","months","prior_inf","age_group","ve_pred"
"1",0.5,1,"18-49 years",0.979027263286801
"2",0.5,0,"18-49 years",0.879247872917103
"3",0.5,1,"50-64 years",0.980671639296251
"4",0.5,0,"50-64 years",0.888715492883946
"110",0.5,1,"65-74 years",0.981025711140079
"210",0.5,0,"65-74 years",0.890754088460053
"1.1",0.5,1,"75+ years",0.981025711140079
"2.1",0.5,0,"75+ years",0.890754088460053
"5",1,1,"18-49 years",0.977021932061433
"6",1,0,"18-49 years",0.844241180261051
"7",1,1,"50-64 years",0.978823536886707
"8",1,0,"50-64 years",0.856453514299357
"310",1,1,"65-74 years",0.979211463698257
"410",1,0,"65-74 years",0.859083109723722
"3.1",1,1,"75+ years",0.979211463698257
"4.1",1,0,"75+ years",0.859083109723722
"9",2,1,"18-49 years",0.974824858891348
"10",2,0,"18-49 years",0.799085858671332
"11",2,1,"50-64 years",0.976798726138132
"12",2,0,"50-64 years",0.814838614188082
"510",2,1,"65-74 years",0.977223744997276
"610",2,0,"65-74 years",0.818230543502991
"5.1",2,1,"75+ years",0.977223744997276
"6.1",2,0,"75+ years",0.818230543502991
"13",3,1,"18-49 years",0.973443514920394
"14",3,0,"18-49 years",0.766824612762618
"15",3,1,"50-64 years",0.975525687006823
"16",3,0,"50-64 years",0.785106824474461
"710",3,1,"65-74 years",0.975974026380282
"810",3,0,"65-74 years",0.789043403683149
"7.1",3,1,"75+ years",0.975974026380282
"8.1",3,0,"75+ years",0.789043403683149
"17",4,1,"18-49 years",0.972417710160184
"18",4,0,"18-49 years",0.740839765905456
"19",4,1,"50-64 years",0.974580310888861
"20",4,0,"50-64 years",0.761159330174835
"910",4,1,"65-74 years",0.975045968392415
"101",4,0,"65-74 years",0.765534598085151
"9.1",4,1,"75+ years",0.975045968392415
"10.1",4,0,"75+ years",0.765534598085151
"21",5,1,"18-49 years",0.97159482479667
"22",5,0,"18-49 years",0.718706275025004
"23",5,1,"50-64 years",0.97382194418921
"24",5,0,"50-64 years",0.740761224709597
"111",5,1,"65-74 years",0.974301494039858
"121",5,0,"65-74 years",0.745510160874731
"11.1",5,1,"75+ years",0.974301494039858
"12.1",5,0,"75+ years",0.745510160874731
"25",6,1,"18-49 years",0.970904287470282
"26",6,0,"18-49 years",0.699225810876741
"27",6,1,"50-64 years",0.973185548724643
"28",6,0,"50-64 years",0.722808134329308
"131",6,1,"65-74 years",0.973676756559069
"141",6,0,"65-74 years",0.727885949073997
"13.1",6,1,"75+ years",0.973676756559069
"14.1",6,0,"75+ years",0.727885949073997
"29",7,1,"18-49 years",0.970307365955281
"30",7,0,"18-49 years",0.681706482012143
"31",7,1,"50-64 years",0.97263542908544
"32",7,0,"50-64 years",0.706662415617766
"151",7,1,"65-74 years",0.973136714436422
"161",7,0,"65-74 years",0.712036000111465
"15.1",7,1,"75+ years",0.973136714436422
"16.1",7,0,"75+ years",0.712036000111465
"33",8,1,"18-49 years",0.969780399262741
"34",8,0,"18-49 years",0.66570781682277
"35",8,1,"50-64 years",0.972149779432199
"36",8,0,"50-64 years",0.691918132323345
"171",8,1,"65-74 years",0.972659961288726
"181",8,0,"65-74 years",0.69756181398938
"17.1",8,1,"75+ years",0.972659961288726
"18.1",8,0,"75+ years",0.69756181398938
"37",9,1,"18-49 years",0.96930782424054
"38",9,0,"18-49 years",0.650929807349413
"39",9,1,"50-64 years",0.971714256848113
"40",9,0,"50-64 years",0.678298798733719
"191",9,1,"65-74 years",0.972232416943805
"201",9,0,"65-74 years",0.684191969874298
"19.1",9,1,"75+ years",0.972232416943805
"20.1",9,0,"75+ years",0.684191969874298
"41",10,1,"18-49 years",0.96887883281259
"42",10,0,"18-49 years",0.637157707607093
"43",10,1,"50-64 years",0.971318900668726
"44",10,0,"50-64 years",0.66560650611079
"211",10,1,"65-74 years",0.971844303204352
"221",10,0,"65-74 years",0.671732184473285
"21.1",10,1,"75+ years",0.971844303204352
"22.1",10,0,"75+ years",0.671732184473285
"45",11,1,"18-49 years",0.968485599712191
"46",11,0,"18-49 years",0.624231823613528
"47",11,1,"50-64 years",0.970956499170576
"48",11,0,"50-64 years",0.653694081344345
"231",11,1,"65-74 years",0.971488540456824
"241",11,0,"65-74 years",0.66003798070686
"23.1",11,1,"75+ years",0.971488540456824
"24.1",11,0,"75+ years",0.66003798070686
"49",12,1,"18-49 years",0.968122269002304
"50",12,0,"18-49 years",0.612029751876614
"51",12,1,"50-64 years",0.970621655553766
"52",12,0,"50-64 years",0.642448718038198
"251",12,1,"65-74 years",0.971159830764076
"261",12,0,"65-74 years",0.648998618653553
"25.1",12,1,"75+ years",0.971159830764076
"26.1",12,0,"75+ years",0.648998618653553
"53",13,1,"18-49 years",0.967784339218891
"54",13,0,"18-49 years",0.600455334688888
"55",13,1,"50-64 years",0.97031022129339
"56",13,0,"50-64 years",0.631781797769312
"271",13,1,"65-74 years",0.970854101597085
"281",13,0,"65-74 years",0.638527103271065
"27.1",13,1,"75+ years",0.970854101597085
"28.1",13,0,"75+ years",0.638527103271065
"57",14,1,"18-49 years",0.967468272181896
"58",14,0,"18-49 years",0.589431475121663
"59",14,1,"50-64 years",0.970018935621846
"60",14,0,"50-64 years",0.621622268425261
